date,spy_voltarget,momentum_hrp,momentum_ml_hrp,momentum_equal,SPY
2024-09-05,130420.92376133174,116686.89927063555,101185.0834135224,116394.24490906365,133251.12000020704
2024-09-06,129288.18410565934,116714.81496667642,101209.29051860531,116422.09059167326,131008.48820675
2024-09-09,130057.22922357367,116779.99355421931,101265.81015241619,116487.10570929755,132475.2906230111
2024-09-10,130437.89384017735,116848.94809354859,101325.60410407132,116555.88730850407,133052.31372230055
2024-09-11,131323.0681233996,116803.40484013718,101286.1112567666,116510.45827898441,134417.28853280467
2024-09-12,132059.6380922833,116868.81058070903,101342.82786640189,116575.69997993083,135549.51453015002
2024-09-13,132540.28832728253,117005.98482441861,101461.77855734233,116712.53018638371,136257.4588368413
2024-09-16,132679.56294467524,117071.42565941748,101518.52559912167,116777.80689373922,136458.6895815515
2024-09-17,132718.43243449111,117018.32481045382,101472.47918032657,116724.8392233513,136514.45231803745
2024-09-18,132437.7511645372,116976.63371545533,101436.32673346756,116683.25269091182,136109.5663618133
2024-09-19,134101.42660221917,116985.92489653164,101444.38358422024,116692.52056941789,138432.20555979369
2024-09-20,133947.6453114415,117112.55126378326,101554.1876805909,116818.82935381404,138193.52431881285
2024-09-23,134196.80828622123,117165.48559432189,101600.08970287848,116871.63092341031,138538.85613497248
2024-09-24,134470.55836659783,117185.13177768851,101617.1258973025,116891.22783353987,138935.25814929657
2024-09-25,134269.67676833688,117180.45946371206,101613.07429868777,116886.56723787176,138628.83696030985
2024-09-26,134645.6945541985,117186.48444486356,101618.29886309209,116892.5771081837,139178.44956912732
2024-09-27,134520.6844990881,117249.98399261257,101673.36251698868,116955.91739709798,138976.6006906678
2024-09-30,134905.75362665844,117238.84360398396,101663.70212529354,116944.80494890948,139533.50904208017
2024-10-01,134025.81269523012,117295.47009948287,101712.80580965133,117001.28942340183,138283.50514415023
2024-10-02,134069.92494156133,117111.5916138366,101698.87081304562,116816.23778033532,138341.8710849096
2024-10-03,133899.8222064156,116651.28771083165,101406.07119926109,116344.75036122982,138088.95200828565
2024-10-04,134792.0427001477,117244.76408392953,102213.31150916047,116878.94819446973,139343.81973461222
2024-10-07,133914.57970166203,116049.95630871457,101108.64315830483,115721.29877859374,138084.088179889
2024-10-08,134834.9193127805,116471.79656013504,101729.39820705687,116120.6866429922,139390.02610438
2024-10-09,135750.28441506368,117088.1754686283,102059.7788128142,116448.05870296799,140355.496041108
2024-10-10,135512.72024127704,116569.03307874688,101710.61916923072,115944.6153560032,140109.87270707896
2024-10-11,136324.20182500363,117984.90485051782,102796.15567098718,117245.7137285679,140948.88310549498
2024-10-14,137439.106957428,118699.98138318758,103555.90893460556,118004.17420680121,142101.61043549268
2024-10-15,136371.24423565445,119009.06995254211,103455.67723786109,118389.28722714933,140997.52138946112
2024-10-16,136941.20649938754,119985.4586928085,104430.55582268952,119382.0073648003,141610.36376743458
2024-10-17,136953.5897087986,119561.52467891473,104226.59148064237,118969.0791584591,141622.52333842614
2024-10-18,137463.7808358274,120058.2545231657,104534.47750573074,119454.2329098247,142167.27211884697
2024-10-21,137246.84847087233,119275.23799400854,104108.50750286314,118635.36234162343,141933.80835580945
2024-10-22,137176.97485920083,118984.03993272858,103686.09881992807,118339.67449194282,141858.41901566193
2024-10-23,135921.19997238833,119069.43988530884,103757.88791056012,118355.4405230161,140562.20874796412
2024-10-24,136215.15228984278,118872.96729511145,103586.68041171883,118209.42767252978,140866.19802275256
2024-10-25,136168.11991905008,118148.5621313893,102955.42901881976,117585.01966592418,140817.5597387864
2024-10-28,136589.05963764485,118744.67131507803,103474.8824564374,118110.8872083195,141252.87238028343
2024-10-29,136810.1117803706,118121.30270723607,102931.67497850074,117620.70187343616,141481.47231492432
2024-10-30,136396.22691739473,118341.21282637131,102981.29341135973,117823.0109328631,141053.45541602225
2024-10-31,133722.43663782926,117492.59339862174,101693.83929447408,116953.54765003892,138288.36897254683
2024-11-01,134221.82873153838,117023.69552531926,102085.62171281378,116449.32800866199,138872.02838014057
2024-11-04,133968.69292921788,116709.26994637735,101922.5457029913,116182.64344735986,138572.9029337488
2024-11-05,135405.61928889592,118088.97673618761,102958.72682703754,117556.17630132713,140248.49181638254
2024-11-06,138395.56855759636,121816.28971447369,106636.86058274502,120558.5016085982,143735.85677675522
2024-11-07,139346.4894772794,121370.07331651275,106474.4582074441,120780.42928410193,144847.24156538167
2024-11-08,139797.04268644156,122424.394270805,107063.38830843983,121502.2749554674,145474.675428545
2024-11-11,139890.24962200804,123324.15082485689,107957.28697491372,122042.61915807144,145613.2945378485
2024-11-12,139576.88690576883,122742.36294457888,107611.98847911872,121666.44915021013,145160.95849696334
2024-11-13,139634.64177494842,122916.95787282886,107617.40648037955,121862.97591959874,145231.4840087143
2024-11-14,138978.67965112248,122213.54472673852,106987.91890393451,121124.38130990224,144297.6289565643
2024-11-15,137690.4208758124,122003.76323757402,106903.18127974612,121026.41444047146,142449.37416585072
2024-11-18,138106.6329458575,122701.69673673771,107306.30437630427,121672.43179331253,143033.03357344447
2024-11-19,138487.64865767877,122981.94220129814,107374.03636166432,121890.4597945134,143555.89512608055
2024-11-20,138525.9984130615,122994.48690239983,107403.33575223655,121968.97063210695,143604.5334100467
2024-11-21,139073.36659025183,124327.79191575045,108576.25853324805,123065.13749478511,144375.4502109101
2024-11-22,139400.5340836701,124964.52377367033,109139.50318332613,123466.81245425147,144822.92242339862
2024-11-25,139750.08559813292,125514.90404200379,109729.4460773299,123902.94426367091,145314.16909145666
2024-11-26,140283.19194436105,126163.02186730276,110338.60592337948,124517.97270668973,146072.92632132853
2024-11-27,139985.00928258718,126042.19674271798,110257.29210065093,124211.95736178114,145630.31793723663
2024-11-29,140628.54273512197,126435.49154205454,110374.87298580371,124709.32019687061,146534.9900190069
2024-12-02,140822.8345320752,125446.99375685015,109456.45111610458,124244.26925152351,146797.6367524241
2024-12-03,140873.93767703554,124899.57925669813,109066.92640790953,124008.89848342584,146865.7303499767
2024-12-04,141634.80041891895,125066.09315933695,109083.68262544253,124476.99994443724,147777.69817434193
2024-12-05,141434.66208769818,124822.92599222678,109112.65939249522,124180.64771989077,147534.5067545112
2024-12-06,141675.42855087377,124565.76139636787,108887.02568049022,124140.4887877577,147814.17688731654
2024-12-09,141044.59984014832,123097.12888097871,107606.26498124671,122750.2586022151,147052.98774324637
2024-12-10,140596.76268132447,122953.24743007647,107491.07658322774,122576.13652916187,146595.78787396455
2024-12-11,141683.65869010845,123201.26033259854,107662.78652062142,123166.39327557715,147729.0598903758
2024-12-12,140953.61909622565,122801.67015690258,107340.33003589275,122777.22985106366,146967.8707463056
2024-12-13,140925.63035780203,122591.59519477849,107132.30937998235,122545.06675428142,146938.6877759259
2024-12-16,141527.38823390988,122544.17850928642,107031.70923378947,122732.55415264436,147566.12163908916
